qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,acc,gene,compartment,specimen,kingdom,supergroup,phylum,clade,class,order,family,genus,species
AAEE01000001.3330.1582_U|18S_rRNA|nucleus||Eukaryota|TSAR|Alveolata|Apicomplexa|Gregarinomorphea|Cryptogregarinorida|Cryptosporidiidae|Cryptosporidium1|Cryptosporidium_parvum,OR419800.1.1749_U|18S_rRNA|nucleus||Eukaryota|TSAR|Alveolata|Apicomplexa|Gregarinomorphea|Cryptogregarinorida|Cryptosporidiidae|Cryptosporidium1|Cryptosporidium_parvum,100.0,1749,0,0,1,1749,1,1749,0.0,3155,OR419800.1.1749_U,18S_rRNA,nucleus,,Eukaryota,TSAR,Alveolata,Apicomplexa,Gregarinomorphea,Cryptogregarinorida,Cryptosporidiidae,Cryptosporidium1,Cryptosporidium_parvum
AAEU02010701.1.1194_U|18S_rRNA|nucleus|strain_Tai18E2|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Drosophila|Drosophila_yakuba,AAEU02010701.1.1194_U|18S_rRNA|nucleus|strain_Tai18E2|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Drosophila|Drosophila_yakuba,100.0,1194,0,0,1,1194,1,1194,0.0,2154,AAEU02010701.1.1194_U,18S_rRNA,nucleus,strain_Tai18E2,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Drosophila,Drosophila_yakuba
AAFN02000120.4253.6040_U|18S_rRNA|nucleus|strain_MYA-3404|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Saccharomycotina|Saccharomycetales|Candida|Candida_tropicalis,AAFN02000109.45434.47221_U|18S_rRNA|nucleus|strain_MYA-3404|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Saccharomycotina|Saccharomycetales|Candida|Candida_tropicalis,100.0,1788,0,0,1,1788,1,1788,0.0,3225,AAFN02000109.45434.47221_U,18S_rRNA,nucleus,strain_MYA-3404,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Saccharomycotina,Saccharomycetales,Candida,Candida_tropicalis
AAFR03070865.1992.3881_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Craniata|Craniata_X|Mammalia|Monodelphis|Monodelphis_domestica,AAFR03070865.1992.3881_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Craniata|Craniata_X|Mammalia|Monodelphis|Monodelphis_domestica,100.0,1890,0,0,1,1890,1,1890,0.0,3409,AAFR03070865.1992.3881_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Craniata,Craniata_X,Mammalia,Monodelphis,Monodelphis_domestica
AAFU01000612.1149.2970_UC|18S_rRNA|nucleus|strain_CBS_148.51|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Chaetomium|Chaetomium_globosum,AAFU01000612.8421.10223_UC|18S_rRNA|nucleus|strain_CBS_148.51|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Chaetomium|Chaetomium_globosum,100.0,1801,0,0,1,1801,3,1803,0.0,3249,AAFU01000612.8421.10223_UC,18S_rRNA,nucleus,strain_CBS_148.51,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Chaetomium,Chaetomium_globosum
AAGI01000077.110206.112002_UC|18S_rRNA|nucleus|strain_SN15|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Phaeosphaeria|Phaeosphaeria_nodorum,AAGI01000077.36199.37995_UC|18S_rRNA|nucleus|strain_SN15|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Phaeosphaeria|Phaeosphaeria_nodorum,100.0,1275,0,0,1,1275,1,1275,0.0,2300,AAGI01000077.36199.37995_UC,18S_rRNA,nucleus,strain_SN15,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Phaeosphaeria,Phaeosphaeria_nodorum
AAGI01000077.134876.136672_UC|18S_rRNA|nucleus|strain_SN15|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Phaeosphaeria|Phaeosphaeria_nodorum,AAGI01000077.36199.37995_UC|18S_rRNA|nucleus|strain_SN15|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Phaeosphaeria|Phaeosphaeria_nodorum,100.0,1275,0,0,1,1275,1,1275,0.0,2300,AAGI01000077.36199.37995_UC,18S_rRNA,nucleus,strain_SN15,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Phaeosphaeria,Phaeosphaeria_nodorum
AAID01003876.26464.28262_U|18S_rRNA|nucleus|strain_B05.10|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Botryotinia|Botryotinia_fuckeliana,AAGT01000678.11128.12926_UC|18S_rRNA|nucleus|strain_1980|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Sclerotinia|Sclerotinia_sclerotiorum,100.0,1799,0,0,1,1799,1,1799,0.0,3245,AAGT01000678.11128.12926_UC,18S_rRNA,nucleus,strain_1980,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,Sclerotinia,Sclerotinia_sclerotiorum
AAID01004327.1.1459_UC|18S_rRNA|nucleus|strain_B05.10|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Botryotinia|Botryotinia_fuckeliana,AAID01004327.1.1459_U|18S_rRNA|nucleus|strain_B05.10|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Botryotinia|Botryotinia_fuckeliana,100.0,1459,0,0,1,1459,1,1459,0.0,2632,AAID01004327.1.1459_U,18S_rRNA,nucleus,strain_B05.10,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,Botryotinia,Botryotinia_fuckeliana
AAID01004452.1.1212_UC|18S_rRNA|nucleus|strain_B05.10|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Botryotinia|Botryotinia_fuckeliana,AAID01004452.1.1212_U|18S_rRNA|nucleus|strain_B05.10|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Botryotinia|Botryotinia_fuckeliana,100.0,1212,0,0,1,1212,1,1212,0.0,2186,AAID01004452.1.1212_U,18S_rRNA,nucleus,strain_B05.10,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,Botryotinia,Botryotinia_fuckeliana
AAIW01000426.20599.22396_UC|18S_rRNA|nucleus|strain_1704|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Uncinocarpus|Uncinocarpus_reesii,AAIW01000426.12937.14738_U|18S_rRNA|nucleus|strain_1704|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Uncinocarpus|Uncinocarpus_reesii,100.0,1798,0,0,1,1798,2,1799,0.0,3243,AAIW01000426.12937.14738_U,18S_rRNA,nucleus,strain_1704,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Uncinocarpus,Uncinocarpus_reesii
AAIW01000426.43598.45393_UC|18S_rRNA|nucleus|strain_1704|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Uncinocarpus|Uncinocarpus_reesii,AAIW01000426.43598.45393_U|18S_rRNA|nucleus|strain_1704|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Uncinocarpus|Uncinocarpus_reesii,100.0,1796,0,0,1,1796,1,1796,0.0,3240,AAIW01000426.43598.45393_U,18S_rRNA,nucleus,strain_1704,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Uncinocarpus,Uncinocarpus_reesii
AAIZ01014700.212.2098_U|18S_rRNA|nucleus|strain_MSH-3|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Drosophila|Drosophila_persimilis,AAIZ01014700.212.2098_U|18S_rRNA|nucleus|strain_MSH-3|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Drosophila|Drosophila_persimilis,100.0,1887,0,0,1,1887,1,1887,0.0,3404,AAIZ01014700.212.2098_U,18S_rRNA,nucleus,strain_MSH-3,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Drosophila,Drosophila_persimilis
AAIZ01019094.132.1341_U|18S_rRNA|nucleus|strain_MSH-3|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Drosophila|Drosophila_persimilis,AAIZ01019094.132.1341_U|18S_rRNA|nucleus|strain_MSH-3|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Drosophila|Drosophila_persimilis,100.0,1210,0,0,1,1210,1,1210,0.0,2183,AAIZ01019094.132.1341_U,18S_rRNA,nucleus,strain_MSH-3,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Drosophila,Drosophila_persimilis
AAKO01006645.2258.3672_U|18S_rRNA|nucleus|strain_Rob3c|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Drosophila|Drosophila_sechellia,AAKO01006645.2258.3672_U|18S_rRNA|nucleus|strain_Rob3c|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Drosophila|Drosophila_sechellia,100.0,1415,0,0,1,1415,1,1415,0.0,2553,AAKO01006645.2258.3672_U,18S_rRNA,nucleus,strain_Rob3c,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Drosophila,Drosophila_sechellia
AANN01682016.7509.9377_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Craniata|Craniata_X|Mammalia|Erinaceus|Erinaceus_europaeus,AANN01682016.7509.9377_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Craniata|Craniata_X|Mammalia|Erinaceus|Erinaceus_europaeus,100.0,1869,0,0,1,1869,1,1869,0.0,3371,AANN01682016.7509.9377_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Craniata,Craniata_X,Mammalia,Erinaceus,Erinaceus_europaeus
AAPN01296967.3.1282_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Craniata|Craniata_X|Mammalia|Ornithorhynchus|Ornithorhynchus_anatinus,AAPN01296967.3.1282_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Craniata|Craniata_X|Mammalia|Ornithorhynchus|Ornithorhynchus_anatinus,100.0,1280,0,0,1,1280,1,1280,0.0,2309,AAPN01296967.3.1282_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Craniata,Craniata_X,Mammalia,Ornithorhynchus,Ornithorhynchus_anatinus
AAPO01000121.3631.5421_U|18S_rRNA|nucleus|strain_NRRL_YB-4239|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Saccharomycotina|Saccharomycetales|Lodderomyces|Lodderomyces_elongisporus,AAPO01000121.3631.5421_U|18S_rRNA|nucleus|strain_NRRL_YB-4239|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Saccharomycotina|Saccharomycetales|Lodderomyces|Lodderomyces_elongisporus,100.0,1791,0,0,1,1791,1,1791,0.0,3231,AAPO01000121.3631.5421_U,18S_rRNA,nucleus,strain_NRRL_YB-4239,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Saccharomycotina,Saccharomycetales,Lodderomyces,Lodderomyces_elongisporus
AAPY01543530.477.2347_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Craniata|Craniata_X|Mammalia|Tupaia|Tupaia_belangeri,AAPY01543530.477.2347_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Craniata|Craniata_X|Mammalia|Tupaia|Tupaia_belangeri,100.0,1871,0,0,1,1871,1,1871,0.0,3375,AAPY01543530.477.2347_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Craniata,Craniata_X,Mammalia,Tupaia,Tupaia_belangeri
AAQB01012676.1.1284_U|18S_rRNA|nucleus|strain_TSC#14030-0811.24|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Drosophila|Drosophila_willistoni,AAQB01012676.1.1284_U|18S_rRNA|nucleus|strain_TSC#14030-0811.24|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Drosophila|Drosophila_willistoni,100.0,1284,0,0,1,1284,1,1284,0.0,2316,AAQB01012676.1.1284_U,18S_rRNA,nucleus,strain_TSC#14030-0811.24,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Drosophila,Drosophila_willistoni
AARH01029646.100.1382_U|18S_rRNA|nucleus||Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Embryophyceae|Embryophyceae_X|Embryophyceae_XX|Populus|Populus_trichocarpa,AARH01029646.100.1382_U|18S_rRNA|nucleus||Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Embryophyceae|Embryophyceae_X|Embryophyceae_XX|Populus|Populus_trichocarpa,100.0,1283,0,0,1,1283,1,1283,0.0,2315,AARH01029646.100.1382_U,18S_rRNA,nucleus,,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Populus,Populus_trichocarpa
AATT01000250.10057.11851_U|18S_rRNA|nucleus|strain_JEL423|Eukaryota|Obazoa|Opisthokonta|Fungi|Chytridiomycota|Rhizophydiales|Rhizophydiaceae|Batrachochytrium|Batrachochytrium_dendrobatidis,AATT01000250.10057.11851_U|18S_rRNA|nucleus|strain_JEL423|Eukaryota|Obazoa|Opisthokonta|Fungi|Chytridiomycota|Rhizophydiales|Rhizophydiaceae|Batrachochytrium|Batrachochytrium_dendrobatidis,100.0,1795,0,0,1,1795,1,1795,0.0,3238,AATT01000250.10057.11851_U,18S_rRNA,nucleus,strain_JEL423,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Rhizophydiaceae,Batrachochytrium,Batrachochytrium_dendrobatidis
AATU01005842.135.1962_U|18S_rRNA|nucleus|strain_T30-4|Eukaryota|TSAR|Stramenopiles|Gyrista|Peronosporomycetes|Peronosporomycetes_X|Peronosporales|Phytophthora|Phytophthora_infestans,XR_009934467.1.1828_U|18S_rRNA|nucleus|strain_T30-4|Eukaryota|TSAR|Stramenopiles|Gyrista|Peronosporomycetes|Peronosporomycetes_X|Peronosporales|Phytophthora|Phytophthora_infestans,100.0,1828,0,0,1,1828,1,1828,0.0,3297,XR_009934467.1.1828_U,18S_rRNA,nucleus,strain_T30-4,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes_X,Peronosporales,Phytophthora,Phytophthora_infestans
AATU01005887.104615.106451_U|18S_rRNA|nucleus|strain_T30-4|Eukaryota|TSAR|Stramenopiles|Gyrista|Peronosporomycetes|Peronosporomycetes_X|Peronosporales|Phytophthora|Phytophthora_infestans,XR_009934583.1.1837_U|18S_rRNA|nucleus|strain_T30-4|Eukaryota|TSAR|Stramenopiles|Gyrista|Peronosporomycetes|Peronosporomycetes_X|Peronosporales|Phytophthora|Phytophthora_infestans,100.0,1837,0,0,1,1837,1,1837,0.0,3314,XR_009934583.1.1837_U,18S_rRNA,nucleus,strain_T30-4,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes_X,Peronosporales,Phytophthora,Phytophthora_infestans
AAWU01007357.1.1835_U|18S_rRNA|nucleus|strain_JHB|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Culex|Culex_quinquefasciatus,AAWU01007357.1.1835_U|18S_rRNA|nucleus|strain_JHB|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Culex|Culex_quinquefasciatus,100.0,1835,0,0,1,1835,1,1835,0.0,3310,AAWU01007357.1.1835_U,18S_rRNA,nucleus,strain_JHB,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Culex,Culex_quinquefasciatus
AAWU01013258.880.2743_U|18S_rRNA|nucleus|strain_JHB|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Culex|Culex_quinquefasciatus,AAWU01013258.880.2743_U|18S_rRNA|nucleus|strain_JHB|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Culex|Culex_quinquefasciatus,100.0,1864,0,0,1,1864,1,1864,0.0,3362,AAWU01013258.880.2743_U,18S_rRNA,nucleus,strain_JHB,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Culex,Culex_quinquefasciatus
AAWU01031039.114313.116413_U|18S_rRNA|nucleus|strain_JHB|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Culex|Culex_quinquefasciatus,AAWU01031039.114313.116413_U|18S_rRNA|nucleus|strain_JHB|Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Culex|Culex_quinquefasciatus,100.0,2101,0,0,1,2101,1,2101,0.0,3790,AAWU01031039.114313.116413_U,18S_rRNA,nucleus,strain_JHB,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Culex,Culex_quinquefasciatus
AAXH01000563.18525.20304_U|18S_rRNA|nucleus|strain_4287|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Fusarium|Fusarium_oxysporum,LT841222.1.1796_U|18S_rRNA|nucleus|strain_Fod001|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Fusarium|Fusarium_oxysporum,100.0,1780,0,0,1,1780,17,1796,0.0,3211,LT841222.1.1796_U,18S_rRNA,nucleus,strain_Fod001,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Fusarium,Fusarium_oxysporum
AAXH01000566.1.1767_UC|18S_rRNA|nucleus|strain_4287|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Fusarium|Fusarium_oxysporum,LT841222.1.1796_U|18S_rRNA|nucleus|strain_Fod001|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Fusarium|Fusarium_oxysporum,100.0,1767,0,0,1,1767,1,1767,0.0,3187,LT841222.1.1796_U,18S_rRNA,nucleus,strain_Fod001,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Fusarium,Fusarium_oxysporum
AAXH01000566.1.1767_U|18S_rRNA|nucleus|strain_4287|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Fusarium|Fusarium_oxysporum,LT841222.1.1796_U|18S_rRNA|nucleus|strain_Fod001|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Fusarium|Fusarium_oxysporum,100.0,1767,0,0,1,1767,1,1767,0.0,3187,LT841222.1.1796_U,18S_rRNA,nucleus,strain_Fod001,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Fusarium,Fusarium_oxysporum
AAYZ01590113.200.1673_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Craniata|Craniata_X|Mammalia|Ochotona|Ochotona_princeps,AAYZ01590113.200.1673_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Craniata|Craniata_X|Mammalia|Ochotona|Ochotona_princeps,100.0,1474,0,0,1,1474,1,1474,0.0,2659,AAYZ01590113.200.1673_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Craniata,Craniata_X,Mammalia,Ochotona,Ochotona_princeps
